id,item,price,description,details,notes
183,Chickhen - Chicken Phyllo,82.82,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",ac neque duis bibendum morbi,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
184,Tray - 16in Rnd Blk,55.23,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,sodales scelerisque mauris sit,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
185,Longos - Chicken Caeser Salad,88.73,Phasellus id sapien in sapien iaculis congue.,convallis eget eleifend luctus ultricies,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
186,Beef - Tenderloin - Aa,69.43,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,dui vel sem sed,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
187,"Soda Water - Club Soda, 355 Ml",18.24,Duis at velit eu est congue elementum.,sed justo pellentesque viverra pede,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
188,Sugar - Individual Portions,40.46,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",amet eros suspendisse accumsan,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
189,"Onions - Dried, Chopped",67.16,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",odio donec vitae,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
190,"Ecolab - Orange Frc, Cleaner",35.08,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",erat eros viverra,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
191,Lettuce - Frisee,97.59,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",aliquam non mauris morbi,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
192,"Crush - Grape, 355 Ml",24.07,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",vitae ipsum aliquam non,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
193,"Cheese - Brie, Cups 125g",32.14,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",varius nulla facilisi cras non,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
194,Drambuie,83.91,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",est lacinia nisi venenatis,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
195,Apple - Fuji,83.35,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,euismod scelerisque quam turpis,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
196,"Juice - Apple, 500 Ml",86.89,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",arcu sed augue aliquam erat,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
197,Coffee - 10oz Cup 92961,30.95,Vestibulum sed magna at nunc commodo placerat.,morbi sem mauris laoreet ut,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
198,Snapple Lemon Tea,63.43,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,sit amet consectetuer,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
199,Goldschalger,28.04,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,justo sit amet sapien dignissim,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
200,Juice - Orange,41.21,In congue. Etiam justo. Etiam pretium iaculis justo.,vel sem sed,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
201,Wine - Alsace Gewurztraminer,31.83,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",ante ipsum primis in,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
202,Potatoes - Idaho 80 Count,72.58,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",sit amet justo morbi ut,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
203,"Oil - Truffle, Black",74.15,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,ipsum integer a nibh in,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
204,Oyster - In Shell,7.01,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,neque duis bibendum,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
205,Wine - Vidal Icewine Magnotta,10.88,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,aenean auctor gravida,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
206,Coffee Beans - Chocolate,8.85,Integer ac neque.,nunc nisl duis bibendum felis,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
207,Oats Large Flake,62.17,In hac habitasse platea dictumst.,rutrum rutrum neque aenean auctor,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
208,Wine - Casillero Del Diablo,17.25,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,velit id pretium iaculis diam,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
209,"Wine - White, Ej Gallo",49.59,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,hac habitasse platea dictumst,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
210,Squash - Pepper,41.93,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,imperdiet sapien urna pretium nisl,In congue. Etiam justo. Etiam pretium iaculis justo.
211,Lid Tray - 16in Dome,97.83,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",vitae nisl aenean lectus pellentesque,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
212,"Gingerale - Schweppes, 355 Ml",99.25,Vestibulum rutrum rutrum neque.,quis lectus suspendisse,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
213,Sugar - White Packet,34.66,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",eget massa tempor convallis nulla,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
214,Sweet Pea Sprouts,90.8,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,morbi quis tortor id,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
215,Shark - Loin,90.7,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,pulvinar lobortis est,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
216,Clementine,88.42,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",libero ut massa,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
217,Salmon Steak - Cohoe 8 Oz,71.25,Morbi vel lectus in quam fringilla rhoncus.,turpis adipiscing lorem,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
218,Beets,57.36,Aenean auctor gravida sem.,enim in tempor,Sed ante. Vivamus tortor. Duis mattis egestas metus.
219,Grenadillo,71.94,Aenean sit amet justo.,justo morbi ut,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
220,Cheese - St. Andre,31.21,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",ipsum dolor sit amet consectetuer,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
221,Wine - Soave Folonari,91.69,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,urna pretium nisl ut,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
222,Flour Dark Rye,43.83,Proin at turpis a pede posuere nonummy.,accumsan odio curabitur convallis,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
223,Lighter - Bbq,3.57,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,consectetuer adipiscing elit proin risus,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
224,Grapes - Black,11.08,Integer tincidunt ante vel ipsum.,sollicitudin mi sit amet lobortis,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
225,"Iced Tea - Lemon, 340ml",75.77,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",accumsan odio curabitur,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
226,Foie Gras,17.24,Nulla suscipit ligula in lacus.,quam a odio in hac,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
227,Muffin - Banana Nut Individual,14.62,Nunc purus. Phasellus in felis.,rutrum nulla tellus in,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
228,Pur Source,30.95,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",velit vivamus vel nulla eget,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
229,Beans - Fine,74.65,Curabitur convallis.,velit nec nisi vulputate,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
230,Sherbet - Raspberry,76.91,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",est risus auctor sed,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
231,"Vodka - Hot, Lnferno",29.5,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,pede morbi porttitor,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
232,Pork - Ham Hocks - Smoked,84.47,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,morbi a ipsum integer,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
233,Soup - Campbells Broccoli,65.68,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",odio condimentum id luctus nec,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
234,Cheese - Gouda Smoked,77.33,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",maecenas leo odio condimentum id,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
235,"Marjoram - Dried, Rubbed",85.89,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,in porttitor pede,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
236,Wine - Sake,12.16,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",justo in blandit ultrices enim,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
237,Sardines,36.82,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,mauris lacinia sapien,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
238,Pork - Liver,43.97,Maecenas pulvinar lobortis est.,eros vestibulum ac,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
239,Kellogs Cereal In A Cup,76.98,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",pede posuere nonummy integer,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
240,"Napkin - Cocktail,beige 2 - Ply",39.93,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,cursus id turpis,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
241,Hummus - Spread,28.73,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",mattis egestas metus aenean,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
242,"Crab - Claws, 26 - 30",15.3,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",congue vivamus metus arcu adipiscing,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
243,Soup - Campbells Mac N Cheese,78.44,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",est quam pharetra magna,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
244,Nantucket - Orange Mango Cktl,64.0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",in faucibus orci luctus,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
245,"Rice Pilaf, Dry,package",13.87,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",mollis molestie lorem quisque,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
246,Catfish - Fillets,68.12,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,id sapien in sapien iaculis,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
247,Cookie Trail Mix,16.62,Donec ut dolor.,sit amet justo,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
248,Chinese Foods - Cantonese,55.64,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",luctus nec molestie sed justo,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
249,Ginger - Ground,5.63,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,faucibus cursus urna ut,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
250,Coffee - 10oz Cup 92961,61.46,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",amet eleifend pede libero,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
251,"Pasta - Gnocchi, Potato",91.32,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",phasellus in felis donec,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
252,Pork - European Side Bacon,76.66,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",nec nisi vulputate nonummy maecenas,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
253,Clams - Bay,70.9,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",mattis nibh ligula nec sem,In congue. Etiam justo. Etiam pretium iaculis justo.
254,Spring Roll Veg Mini,29.14,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",etiam justo etiam pretium iaculis,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
255,"Ranchero - Primerba, Paste",55.22,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,blandit mi in porttitor,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
256,Muffin Batt - Carrot Spice,80.41,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",risus praesent lectus,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
257,Longos - Penne With Pesto,3.67,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",volutpat dui maecenas tristique,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
258,Tia Maria,61.74,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,ligula in lacus,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
259,Spice - Greek 1 Step,53.17,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",aliquet massa id lobortis,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
260,"Chocolate - Pistoles, White",41.05,Suspendisse potenti.,nonummy maecenas tincidunt,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
261,Wine - Vineland Estate Semi - Dry,79.68,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,diam nam tristique,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
262,Soup Knorr Chili With Beans,96.43,Vivamus tortor. Duis mattis egestas metus.,lacinia eget tincidunt,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
263,Ice Cream Bar - Hageen Daz To,6.75,Vestibulum sed magna at nunc commodo placerat.,proin at turpis a,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
264,Sping Loaded Cup Dispenser,72.65,Nam dui.,phasellus in felis,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
265,Mint - Fresh,83.1,Proin at turpis a pede posuere nonummy. Integer non velit.,aliquam convallis nunc proin,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
266,Lettuce - Spring Mix,28.16,Pellentesque eget nunc.,dictumst aliquam augue quam sollicitudin,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
267,Juice - Apple 284ml,96.64,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",ut volutpat sapien arcu sed,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
268,Bread - Pumpernickel,7.04,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,eget rutrum at,Sed ante. Vivamus tortor. Duis mattis egestas metus.
269,Sherry - Dry,35.45,Nunc rhoncus dui vel sem. Sed sagittis.,mauris laoreet ut,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
270,Butter Sweet,99.9,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",nulla sed accumsan felis ut,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
271,Sobe - Cranberry Grapefruit,63.83,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,mi sit amet lobortis sapien,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
272,Numi - Assorted Teas,10.38,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,fusce congue diam,Fusce consequat. Nulla nisl. Nunc nisl.
273,Pears - Bartlett,88.78,Ut at dolor quis odio consequat varius.,risus dapibus augue,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
274,Wine - Sicilia Igt Nero Avola,34.15,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.,tempor convallis nulla neque,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
275,Vaccum Bag 10x13,41.4,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",justo morbi ut odio,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
276,"Tendrils - Baby Pea, Organic",1.53,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,volutpat dui maecenas tristique est,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
