id,city,postal_code,address
643,Pio Duran,5046,063 Porter Street
644,Washington,20078,83020 North Hill
645,Ivry-sur-Seine,94209 CEDEX,55374 Katie Terrace
646,Cangqian,,7244 Summer Ridge Street
647,Las Animas,39280,0317 Linden Hill
648,Limoges,87030 CEDEX 1,512 Commercial Trail
649,Caikouji,,71569 Waxwing Pass
650,Pingfeng,,22837 Maryland Court
651,Ciudad Tecún Umán,22011,7911 Artisan Trail
652,Zoushi,,201 Garrison Alley
653,Pryazha,186120,6627 Vernon Pass
654,Loma Bonita,29094,60 Sunbrook Hill
655,Cardal,2260-510,56 Ramsey Lane
656,Maliq,,1 Maple Wood Terrace
657,Beau Vallon,,64 Northfield Parkway
658,Barreiros,4615-492,103 Delladonna Center
659,Nurota Shahri,,701 Westerfield Place
660,Benito Juarez,86403,19340 Katie Plaza
661,Valparaíso,16880-000,505 Monument Parkway
662,Xiangshui,,670 Sloan Center
663,El Aïoun,,116 Hovde Plaza
664,Komatsu,999-8317,2997 Magdeline Hill
665,Pietà,PTA,99629 Eggendart Point
666,San Jose,69570,4293 Londonderry Place
667,Labuhansumbawa,,2 Cordelia Way
668,Nice,06281 CEDEX 3,9386 Ludington Trail
669,Bua Yai,30120,4272 Debra Circle
670,San Juan del Cesar,444038,11191 Service Street
671,Banjar Anyar,,8060 Artisan Drive
672,Nizhniy Dzhengutay,368209,3 Pankratz Terrace
673,Panan,1105,6582 Walton Road
674,Nice,06306 CEDEX 4,57 Fairview Point
675,Rosario,8504,6164 Mccormick Drive
676,Christiana,2680,08021 Schurz Lane
677,Al Ḩawātah,,37 Crowley Trail
678,Străşeni,MD-3730,6 Meadow Ridge Lane
679,Ar Rawḑ,,433 Fairview Avenue
680,Huage,,0708 Pleasure Court
681,Donghuang,,36313 Superior Center
682,Velikooktyabr’skiy,172715,354 Dayton Place
683,Kirovsk,184256,7816 Dryden Lane
684,Sammatti,09220,4698 Vermont Parkway
685,Münster,48161,78696 Burning Wood Pass
686,Oslo,0664,40 Elmside Lane
687,Miastko,77-201,854 Scofield Hill
688,Plyussa,181000,6 Pearson Street
689,Rio Claro,13500-000,86 Ohio Avenue
690,Affery,,06 Darwin Pass
691,Guojia,,69 Portage Point
692,El Carmen de Bolívar,132059,2330 Independence Street
693,Sanhe,,4248 Dryden Crossing
694,Nalinggou,,1248 Bluejay Park
695,Vale de Figueira,2000-715,6460 Ronald Regan Road
696,Novouzensk,413362,67636 Southridge Hill
697,Vélo,,74450 Thierer Way
698,Khombole,,1032 Barnett Drive
699,Kyzyl-Burun,,10590 Larry Hill
700,Lianghe,,2 Harbort Crossing
701,San Fernando,8711,0415 Rowland Court
702,Urus-Martan,366510,335 Lunder Parkway
703,Três Passos,98600-000,984 Linden Junction
704,Arnhem,6824,11951 Oak Valley Drive
705,Purabaya,,422 Donald Street
706,Gaya,,572 Del Mar Alley
707,Sibayo,,561 Butternut Court
708,Edgeworthstown,E25,2 Village Green Road
709,Panjir,,1 Redwing Drive
710,Farafangana,,3176 Division Pass
711,Štitar,32274,3422 Melby Trail
712,Neni,,97 Northridge Drive
713,Dallas,75236,6 Ludington Junction
714,San Antonio,,9649 Cherokee Drive
715,Lawonda,,90 Alpine Hill
716,Radišići,,23201 Debs Street
717,Nirji,,127 Portage Park
718,Beloostrov,238323,4731 Farwell Park
719,Meia Via,2350-629,65 Dennis Junction
720,Pomichna,,31 Thierer Road
721,Ajdabiya,,97 Thierer Park
722,Draginje,,31 Marquette Road
723,Walahir,,6 Annamark Lane
724,San José de Miranda,682027,3360 Barby Junction
725,Masinloc,2211,999 Kensington Place
726,Jitan,,5830 Esker Terrace
727,Igreja,5100-825,6159 Larry Pass
728,Shuangxiqiao,,3 Mayer Point
729,Sarāqib,,26049 Lake View Place
730,Babahoyo,,46 Sullivan Crossing
731,Lamalewar,,490 Memorial Terrace
732,Saxin,,16 Clemons Crossing
733,Minshan,,7 Utah Hill
734,Voloshka,164051,7866 Welch Lane
735,Puntarenas,60101,22547 2nd Court
736,Hispania,056457,98424 Brentwood Lane
737,San Juan,6227,4628 Eagan Pass
738,Malāyer,,3 Farwell Terrace
739,St. Catharines,L2P,738 Huxley Parkway
740,Xichangmen,,85 Anthes Plaza
741,Ruyigi,,631 Darwin Road
742,Quebrada Larga,,6 Oak Valley Junction
743,Road Town,,9 Loeprich Avenue
744,Pinara,,00491 Elmside Terrace
745,Guangli,,8 Maple Way
746,Progreso,31210,988 Upham Hill
747,San Luis,27400,5 Maple Wood Plaza
748,Pātan,,8820 Cherokee Circle
749,Xinba,,44 Huxley Trail
750,Richky,,201 Becker Hill
751,Shanxia,,2574 Paget Parkway
752,Pärnu,,236 Arizona Hill
753,Piñas,,0 Macpherson Pass
754,Yelets,399778,8569 Oakridge Crossing
755,Sucre,,30 Sherman Crossing
756,Baishan,,26 Carioca Way
757,Žďár nad Sázavou Druhy,592 11,8179 Mandrake Park
758,Shouchang,,337 Warbler Way
759,Kungälv,442 12,76895 Kennedy Center
760,Mahābād,,41 Union Road
761,Gierłoż,01-517,3804 Grover Avenue
762,Areguá,,605 Golf Street
763,Shanjie,,549 Hintze Alley
764,Chaloem Phra Kiat,40250,387 Florence Lane
765,Circa,,349 Truax Drive
766,Culacling,4409,778 Delladonna Pass
767,Cocachacra,,2 Bultman Road
768,Aghada,F23,7 Warner Junction
769,Yuyang,,37 Mendota Plaza
770,Kebunan,,226 Rowland Center
771,Nîmes,30935 CEDEX 9,96 Westport Place
772,Lyubimets,6522,33248 Saint Paul Drive
773,Cikadu,,19038 Messerschmidt Pass
774,Xijiadian,,76 Heath Trail
775,Fuchun,,5 Autumn Leaf Hill
776,Fengyi,,031 Steensland Point
777,Bagong Barrio,7209,30634 Roxbury Street
778,Portão,93180-000,1466 Stephen Street
779,Amherstburg,N9V,3820 Red Cloud Court
780,Banjar Dauhpura,,85 Mallard Hill
781,Dashiju,,4 Oak Street
782,Bershet’,614551,1762 Lindbergh Point
783,Arlöv,232 24,969 Duke Street
784,Sukamenak,,62362 Alpine Junction
785,Maggotty,,8 Melody Drive
786,Biograd na Moru,23210,332 Coleman Lane
787,Sundre,L9H,16 Scott Street
788,Ed,668 92,56340 Stoughton Court
789,Yaruchel,,605 Fieldstone Avenue
790,Farah,,25 Nevada Point
791,Zaña,,54 Onsgard Terrace
792,Norrköping,600 06,4 Corry Avenue
793,Cabo Frio,28900-000,794 Dapin Plaza
794,Duboka,,53920 Bartelt Hill
795,Klisura,4341,37147 New Castle Circle
796,Clichy,92613 CEDEX,8 Nancy Junction
797,Boñgalon,2416,8963 Grasskamp Avenue
798,Krajan Winong,,9 John Wall Hill
799,Kotabesi,,74367 Moose Place
800,Rixi,,634 Kinsman Hill
801,Bom Jesus da Lapa,47600-000,08 5th Alley
802,Mankono,,50 Moulton Trail
803,Yambrasbamba,,53958 Redwing Trail
804,Bartniczka,87-321,30587 Buena Vista Drive
805,Tambaksari,,6 Holmberg Avenue
806,Tūkrah,,265 Lukken Way
807,Marttila,21490,63 Duke Center
808,Lamía,,9 Schmedeman Drive
809,El Hermel,,60347 Kingsford Drive
810,Riachão das Neves,47970-000,89 Anniversary Road
811,Cergy-Pontoise,95032 CEDEX,27529 Banding Hill
812,Taungdwingyi,,03 Nevada Lane
813,Mont-de-Marsan,40025 CEDEX,98 Ridgeview Drive
814,Sulūk,,50 Ridgeway Court
815,Dokri,77060,92 Mallory Terrace
816,Zaïo,,07598 Mendota Terrace
817,Kelungkung,,9 Dorton Junction
818,Aylmer,N5H,2018 Chive Park
819,Helsingborg,256 62,44 South Way
820,Minami-rinkan,246-0038,57 Shoshone Plaza
821,Khomutovo,664540,727 Florence Way
822,Dongchong,,38666 1st Way
823,Sypniewo,06-216,4369 Jenifer Terrace
824,Kamigyō-ku,612-8447,2112 Dayton Place
825,Bundoc,3515,3 Prairieview Pass
826,El Mirador,29140,2 Forest Run Street
827,Sidi Moussa,,65306 Crowley Court
828,La Cruz,47707,8 Harper Drive
829,Pidvolochys’k,,787 North Circle
830,Awilega,,2075 Hollow Ridge Lane
831,Aktogay,,2 Randy Trail
832,Tyret’ Pervaya,666330,717 Little Fleur Terrace
833,Araripina,56280-000,1 Northridge Junction
834,Changxi,,7238 Ilene Point
835,Jinan-gun,,08662 Daystar Street
836,Pataruman,,0774 Ronald Regan Drive
837,Neiba,11105,2 Hovde Circle
838,Shijie,,3933 Beilfuss Avenue
839,San Antonio,78215,0581 Kim Trail
840,Sokol,347252,48 Vidon Alley
841,Huangsha,,52 Hanson Road
842,Chastyye,617191,9 Harper Center
843,Abaetetuba,68440-000,63 Blackbird Center
844,Ushirombo,,9 Golf Course Center
845,Zaječar,,7 Mccormick Parkway
846,Liuhe,,1708 Mosinee Pass
847,Colosó,707037,68 Graedel Parkway
848,Joliet,60435,613 Banding Center
849,Stakhanov,,374 Dwight Street
850,Shangyuan,,3 Carioca Trail
851,La Libertad,,8 Schmedeman Lane
852,Uryupinsk,403140,5379 Raven Circle
853,Changzhi,,0 Iowa Place
854,Sudzha,307831,8 Pierstorff Center
855,Xiaoruo,,9 Eagan Street
856,Begang,7300,42 Burrows Place
857,Bulod,1106,18 Laurel Parkway
858,Sembungan Kidul,,4653 Chinook Lane
859,Horad Krychaw,,2864 Barby Avenue
860,Sukadana,,180 Hayes Crossing
861,Korkino,456555,47627 Farragut Drive
862,Bezerros,55660-000,6 Crowley Pass
863,Fika,,35 Mcbride Road
864,Sōja,719-1171,73067 Sunfield Avenue
865,Huya,,8412 Lukken Hill
866,San José,,14359 American Court
867,Qinggis Han,,546 Acker Center
868,Liberta,,3 Pleasure Drive
869,Darwin,8364,8464 Rigney Junction
870,Māymay,,6769 Farmco Crossing
871,Pierzchnica,26-015,92 Hollow Ridge Point
872,Rey,,9 Barnett Junction
873,Ciénega,153457,37797 Rigney Avenue
874,Banjar Madangan Kaja,,37839 American Parkway
875,Borzęta,32-447,37491 Elgar Alley
876,Cirumput,,845 Crest Line Drive
877,Carmelo,9212,94 Village Trail
878,Darya Boyi,,5097 Kenwood Terrace
879,North Side,,309 Dixon Hill
880,Onueke,,4 Talmadge Pass
881,Porto Formoso,9625-414,6 Dunning Point
882,Al Jaghbūb,,67 Service Avenue
883,Xiaolin,,74892 Pond Point
884,Xiangjia,,53 Main Pass
885,Jinxiang,,6100 South Terrace
886,Tadine,98828,13 Merrick Hill
887,Quxi,,66899 Gateway Junction
888,Limbi,,46 Scoville Point
889,Egbe,,830 Cody Junction
890,Narok,,975 Hallows Parkway
891,Plaški,47304,535 Colorado Road
892,Lorica,231048,859 Vera Parkway
893,Fukuma,811-3522,62 Dryden Road
894,Contraalmirante Cordero,8305,21 Hoard Court
895,Shangping,,45 Porter Drive
896,Paldiski,,27 Dapin Circle
897,Minle,,0 Hudson Center
898,San Antonio,72089,01777 Nancy Crossing
899,Bang Bon,10150,0 Kingsford Crossing
900,Imbituva,84430-000,247 Rieder Street
901,Nevel’,182520,17 Sugar Parkway
902,Le Pontet,84964 CEDEX,97 Mayer Hill
903,Tabatinga,14910-000,98532 Fairview Park
904,Beiyang,,531 Vahlen Avenue
905,Guinabsan,4215,9 New Castle Junction
906,Lipov,696 72,01 Manitowish Trail
907,Stockholm,112 75,2133 Manitowish Pass
908,Ciechanów,06-413,30173 Duke Avenue
909,Manola,,9560 Manufacturers Alley
910,Fatou,,89015 Anzinger Drive
911,Polýkastro,,908 Knutson Junction
912,Babatngon,6520,83887 Scoville Court
913,Emar,169635,4 Surrey Plaza
914,Kasamwa,,3070 Lawn Alley
915,Xinhuang,,27 Division Hill
916,Abū Ghaush,,16 New Castle Road
917,Jakhaly,,21 Becker Parkway
918,Bondy,93144 CEDEX,710 Ilene Hill
919,Blatná,388 01,7593 Reindahl Crossing
920,Kambatatamakawu,,1306 Westend Place
921,Dalududalu,,509 Dixon Center
922,Padre Bernardo,73700-000,37 Homewood Crossing
923,Shunling,,83149 Holy Cross Center
924,San José de Barlovento,,2356 Marquette Road
925,Jiuchi,,73 Namekagon Place
926,Xiangqiao,,934 Menomonie Parkway
927,Wete,,92 Moland Hill
928,Buzen,871-0921,3 5th Lane
929,Krzeszów,58-405,0434 Sundown Court
930,Ouagadougou,,8157 Shasta Street
931,Dongsheng,,46599 Jenifer Circle
932,Pasirputih,,008 Dorton Avenue
933,Kadukandel,,1 Memorial Terrace
934,Washington,20420,68460 Lyons Circle
935,Lidköping,531 93,1852 Butterfield Trail
936,Gierałtowice,44-186,1 Esker Hill
937,Frýdlant,464 01,49 Corscot Way
938,Dasongshu,,5 Linden Parkway
939,Hengjie,,6 Northland Park
940,Kandi,,95103 Pine View Junction
941,Liminka,91901,97564 Sunfield Junction
942,Zhaojia,,7 Westerfield Hill
943,Buckland,CT16,9 Talisman Park
944,Ceadîr-Lunga,MD-6114,7 Dexter Drive
945,Camarate,2680-005,3 Ronald Regan Parkway
946,Haibara,779-3601,914 Dorton Alley
947,Godong,,66309 Knutson Drive
948,Jixin,,13567 Coleman Junction
949,Retkovci,32282,04 Prairie Rose Alley
950,Darhan,,31518 Mockingbird Lane
951,Donji Dobrić,,731 Crownhardt Court
952,Kedungasem,,46845 Sundown Park
953,Pilchowice,44-145,61081 Luster Crossing
954,Pöytyä,21880,50 Crownhardt Junction
955,Kapiri Mposhi,,050 Heffernan Junction
956,Chicago,60614,10245 Dakota Point
957,Bastia,20403 CEDEX,110 Sunnyside Crossing
958,Sar Chakān,,541 Sunfield Road
959,Ansermanuevo,762018,5 Briar Crest Center
960,Ell,L-8531,0 Nelson Terrace
961,Grecheskoye,357247,0 Reindahl Street
962,Sanlicheng,,127 Pankratz Court
963,Orda,617500,4 Elka Circle
964,Igarapé Açu,35516-000,8899 Marcy Junction
965,Polonnaruwa,51000,142 Eagan Park
966,Novoaleksandrovsk,356003,977 Emmet Road
967,Greenwood,E6J,45 Lillian Parkway
968,Vicente Guerrero,40230,21323 Nelson Way
969,Si Racha,20110,7798 Summerview Drive
970,El Hermel,,945 Birchwood Alley
971,Vilela,4580-634,7411 Bowman Court
972,Huibu,,6559 Crownhardt Place
973,Sambopinggir,,4489 Trailsway Circle
974,El Kef,,18 Petterle Point
975,Macas,,18751 Pennsylvania Junction
976,Cirangga Kidul,,81 Mockingbird Point
977,Stockholm,116 23,91999 Orin Park
978,Mubende,,3451 Schurz Parkway
979,Molinos,4616,2339 Barby Drive
980,Mora,792 34,22 Kennedy Road
981,Frisange,L-5754,5 Cordelia Lane
982,Abha,,8504 Forest Run Parkway
983,Baquero Norte,3322,3335 Lillian Crossing
984,Naranjo,20601,1 Welch Court
985,Baş Göynük,,5 Kings Crossing
986,Łęknica,68-208,60 Graceland Point
987,Biscoitos,9760-055,98 Express Pass
988,Iturama,38280-000,026 Ridgeway Place
989,Tallkalakh,,05 Artisan Court
990,Nguékhokh,,5 Petterle Alley
991,Langley,SG4,639 Almo Junction
992,Železný Brod,468 22,0 Novick Junction
993,Vicente Guerrero,39200,33 Messerschmidt Drive
994,Sydney,1043,0 La Follette Way
995,Levallois-Perret,92309 CEDEX,707 Springs Center
996,Joutsa,19651,742 Portage Terrace
997,Trångsund,142 82,2367 Oak Avenue
998,Sandefjord,3249,397 Manley Crossing
999,Nal’chik,361424,90355 Union Drive
1000,Ngujuran,,42 Magdeline Park
